;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.47703;0.47703;0.47703;nan;nan
0-1-0-0-0-0-0-0-0-0;0.47779;0.47779;0.47779;nan;nan
0-0-1-0-0-0-0-0-0-0;0.48142;0.48142;0.48142;nan;nan
0-0-0-0-0-0-1-0-0-0;0.47905;0.47905;0.47905;nan;nan
0-0-0-0-0-0-0-0-0-1;0.48112;0.48112;0.48112;nan;nan
1-2-0-0-0-0-0-0-0-0;0.48443;0.48443;0.48443;0.46955;0.48634
1-0-2-0-0-0-0-0-0-0;0.48645;0.48645;0.48645;0.47057;0.48992
1-0-0-0-0-0-2-0-0-0;0.48620;0.48620;0.48620;0.46821;0.48991
1-0-0-0-0-0-0-0-0-2;0.48689;0.48689;0.48689;0.46955;0.49106
0-1-2-0-0-0-0-0-0-0;0.48606;0.48606;0.48606;0.47194;0.48965
0-1-0-0-0-0-2-0-0-0;0.48596;0.48596;0.48596;0.46937;0.48921
0-1-0-0-0-0-0-0-0-2;0.48700;0.48700;0.48700;0.47042;0.49029
0-0-1-0-0-0-2-0-0-0;0.48770;0.48770;0.48770;0.47159;0.49049
0-0-1-0-0-0-0-0-0-2;0.48786;0.48786;0.48786;0.47342;0.49155
0-0-0-0-0-0-1-0-0-2;0.48812;0.48812;0.48812;0.47059;0.49148
1-2-3-0-0-0-0-0-0-0;0.47869;0.49092;0.48003;0.46450;0.48132
1-2-0-0-0-0-3-0-0-0;0.47834;0.49094;0.47939;0.46230;0.48085
1-2-0-0-0-0-0-0-0-3;0.47905;0.49170;0.48020;0.46320;0.48156
1-0-2-0-0-0-3-0-0-0;0.47939;0.49290;0.48131;0.46341;0.48229
1-0-2-0-0-0-0-0-0-3;0.47980;0.49328;0.48194;0.46443;0.48310
1-0-0-0-0-0-2-0-0-3;0.47936;0.49384;0.48150;0.46205;0.48257
0-1-2-0-0-0-3-0-0-0;0.47951;0.49221;0.48127;0.46443;0.48238
0-1-2-0-0-0-0-0-0-3;0.48018;0.49277;0.48222;0.46543;0.48324
0-1-0-0-0-0-2-0-0-3;0.47973;0.49334;0.48169;0.46332;0.48220
0-0-1-0-0-0-2-0-0-3;0.48070;0.49403;0.48292;0.46530;0.48366
1-2-3-0-0-0-4-0-0-0;0.48271;0.49351;0.48390;0.47268;0.48478
1-2-3-0-0-0-0-0-0-4;0.48290;0.49381;0.48417;0.47294;0.48533
1-2-0-0-0-0-3-0-0-4;0.48280;0.49410;0.48396;0.47203;0.48502
1-0-2-0-0-0-3-0-0-4;0.48319;0.49528;0.48517;0.47335;0.48615
0-1-2-0-0-0-3-0-0-4;0.48340;0.49477;0.48521;0.47363;0.48630
1-2-3-0-0-0-4-0-0-5;0.48026;0.48956;0.48082;0.47132;0.48230
