network_order;cityscapes;coco
(a);nan;0.17569
(b);nan;0.17188
(c);nan;0.23335
(d);nan;0.11597
(e);nan;0.03750
(a)>(b);nan;0.15375
(a)>(c);nan;0.17519
(a)>(d);nan;0.19000
(a)>(e);nan;0.18194
(b)>(c);nan;0.16672
(b)>(d);nan;0.10469
(b)>(e);nan;0.10469
(c)>(d);nan;0.15201
(c)>(e);nan;0.10772
(d)>(e);nan;0.11597
(a)>(b)>(c);nan;0.20000
(a)>(b)>(d);nan;0.16852
(a)>(b)>(e);nan;0.10000
(a)>(c)>(d);nan;0.22324
(a)>(c)>(e);nan;0.19509
(a)>(d)>(e);nan;0.13611
(b)>(c)>(d);nan;0.17500
(b)>(c)>(e);nan;0.17500
(b)>(d)>(e);nan;0.03750
(c)>(d)>(e);nan;0.03750
(a)>(b)>(c)>(d);nan;0.16019
(a)>(b)>(c)>(e);nan;0.08750
(a)>(b)>(d)>(e);nan;0.12685
(a)>(c)>(d)>(e);nan;0.16944
(b)>(c)>(d)>(e);nan;0.03750
(a)>(b)>(c)>(d)>(e);nan;0.16019
