;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;1689;1689;0
0-1-0-0-0;1923;1923;0
0-0-1-0-0;1553;1553;0
0-0-0-1-0;1311;1311;0
0-0-0-0-1;1280;1280;0
1-2-0-0-0;2345;2345;1519
1-0-2-0-0;2301;2301;1412
1-0-0-2-0;2214;2214;1290
1-0-0-0-2;2146;2146;1397
0-1-2-0-0;2477;2477;1583
0-1-0-2-0;2383;2383;1458
0-1-0-0-2;2324;2324;1598
0-0-1-2-0;2020;2020;1310
0-0-1-0-2;2003;2003;1361
0-0-0-1-2;1821;1821;1155
1-2-3-0-0;1995;1995;2008
1-2-0-3-0;1939;1935;1954
1-2-0-0-3;2009;2010;2024
1-0-2-3-0;1883;1885;1907
1-0-2-0-3;1948;1945;1978
1-0-0-2-3;1825;1827;1857
0-1-2-3-0;2023;2022;2042
0-1-2-0-3;2077;2083;2102
0-1-0-2-3;1986;1984;2022
0-0-1-2-3;1748;1744;1772
1-2-3-4-0;2354;2354;2351
1-2-3-0-4;2401;2397;2402
1-2-0-3-4;2336;2333;2337
1-0-2-3-4;2227;2229;2241
0-1-2-3-4;2352;2354;2355
1-2-3-4-5;2103;2110;2114
