;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;135;135
0-1-0-0-0;206;206
0-0-1-0-0;199;199
0-0-0-1-0;141;141
0-0-0-0-1;160;160
1-2-0-0-0;242;242
1-0-2-0-0;288;288
1-0-0-2-0;214;214
1-0-0-0-2;258;258
0-1-2-0-0;277;277
0-1-0-2-0;219;219
0-1-0-0-2;260;260
0-0-1-2-0;224;224
0-0-1-0-2;211;211
0-0-0-1-2;192;192
1-2-3-0-0;241;241
1-2-0-3-0;217;217
1-2-0-0-3;203;203
1-0-2-3-0;274;274
1-0-2-0-3;261;261
1-0-0-2-3;165;165
0-1-2-3-0;248;248
0-1-2-0-3;266;266
0-1-0-2-3;192;192
0-0-1-2-3;206;206
1-2-3-4-0;274;274
1-2-3-0-4;294;294
1-2-0-3-4;213;213
1-0-2-3-4;268;268
0-1-2-3-4;263;263
1-2-3-4-5;263;263
